Width	Depth	Height
357	290	268
357	290	268
320	318	256
320	318	256
320	318	256
315	290	243
295	284	243
295	284	243
295	284	243
320	318	231
320	318	231
320	318	231
320	318	231
353	317	228
353	317	228
353	317	228
602	402	228
357	228	219
602	402	202
399	240	200
342	292	194
342	292	194
342	292	194
387	331	176
310	236	165
310	236	165
392	303	161
392	303	161
370	227	144
370	227	144
370	227	144
370	227	144
386	200	142
386	200	142
368	298	138
368	298	138
368	298	138
368	298	138
413	310	125
413	310	125
300	204	123
300	204	123
280	210	114
280	210	114
300	226	113
198	190	104
198	190	104
261	197	100
362	202	100
511	204	94
388	338	302
389	339	293
395	296	267
538	304	265
382	260	257
395	386	256
473	310	256
252	252	252
393	301	246
401	240	239
385	235	235
318	249	233
352	312	232
401	291	231
378	257	231
311	274	226
438	300	221
389	244	209
401	225	205
360	210	203
376	253	201
394	294	201
347	304	199
399	228	198
396	202	187
402	272	185
345	272	181
395	288	180
382	303	178
285	215	174
379	250	170
279	204	170
257	232	162
346	254	157
394	300	155
398	196	140
357	200	140
450	277	139
331	184	130
320	221	130
305	223	123
405	307	120
310	229	111
316	228	106
371	249	104
370	244	103
261	197	97
344	260	89
352	263	88
310	232	86
594	402	300
594	402	300
386	293	288
386	293	288
391	291	279
391	291	279
357	289	270
357	289	270
395	275	259
395	275	259
370	325	251
370	325	251
303	297	249
303	297	249
382	281	245
382	281	245
555	391	240
555	391	240
272	240	222
276	237	222
276	237	222
438	300	221
438	300	221
358	221	219
358	221	219
506	298	218
506	298	218
328	217	217
328	217	217
401	269	211
401	269	211
434	304	205
434	304	205
403	254	203
403	254	203
398	214	197
366	283	196
366	283	196
406	402	195
406	402	195
397	263	193
397	263	193
393	291	188
393	291	188
331	265	183
331	265	183
295	196	182
295	196	182
276	209	180
276	209	180
299	260	178
393	299	177
393	299	177
316	257	169
316	257	169
387	287	166
282	217	160
282	217	160
375	251	158
375	251	158
263	228	146
263	228	146
298	195	126
298	195	126
430	312	121
313	211	98
286	204	96
286	204	96
354	260	92
354	260	92
