Very Small	Small	Medium	Large	Very Large
36	32	28	2	2
32	38	20	10	0
21.4286	35.7143	37.1429	2.85714	2.85714
25.7143	35.7143	21.4286	17.1429	0
26	30	35	9	0
34.7	34.9	18	8.7	3.7
31.4333	36.0667	22.3	7.3	2.9
66.3418	24.0416	6.10786	3.50877	0
12.0567	74.8227	13.1206	0	0
31.9048	49.5238	18.5714	0	0
27.5204	65.3951	7.08447	0	0
34.5733	55.5799	9.62801	0.218818	0
32.567	52.8736	14.1762	0.383142	0
20.7207	62.6126	16.6667	0	0
24.5614	62.4561	12.9825	0	0
19.3548	65.5914	15.0538	0	0
25.9681	53.303	20.7289	0	0
32.1429	57.1429	10.7143	0	0
28.8043	52.7174	17.9348	0.543478	0
27.8947	55.2632	16.8421	0	0
22.0588	66.1765	11.7647	0	0
25.2161	68.2997	6.48415	0	0
19.2308	69.7115	11.0577	0	0
33.1579	56.8421	10	0	0
32.2097	51.3109	16.4794	0	0
22.7273	64.0496	13.2231	0	0
35.3659	55.4878	9.14634	0	0
34.9206	55.5556	9.52381	0	0
31.8182	58.1818	10	0	0
37.2549	49.0196	13.7255	0	0
14.9533	67.2897	17.757	0	0
76.1128	14.5401	8.30861	0.890208	0.148368
82.4773	11.1782	4.83384	1.51057	0
73.9195	14.7541	8.79285	1.78838	0.745156
73.2573	13.815	9.88593	2.53485	0.506971
86.0927	4.63576	5.96026	3.31126	0
62.3153	18.9655	13.3005	4.92611	0.492611
77.5599	10.2397	8.49673	3.26797	0.43573
82.6087	10.8696	5.07246	0.724638	0.724638
79.0845	12.3915	6.86661	1.49961	0.157853
75.2632	14.4737	8.68421	1.31579	0.263158
68.4932	21.9178	7.53425	1.71233	0.342466
73.7968	16.5775	8.3779	1.06952	0.178253
59.2593	21.9577	17.4603	1.32275	0
83.0949	11.3134	4.42133	0.910273	0.260078
72.8285	17.3719	7.12695	2.22717	0.445434
85.6338	7.88732	5.35211	1.12676	0
77.8291	15.0115	5.77367	1.15473	0.230947
77.7778	14.4144	6.60661	1.2012	0
73.3668	16.0804	7.03518	3.51759	0
67.1141	18.7919	10.7383	3.3557	0
77.3973	12.3288	8.21918	1.36986	0.684932
62.2449	25	12.2449	0.510204	0
85.4795	10.137	3.56164	0.547945	0.273973
81.3953	13.1783	4.65116	0.775194	0
77.451	11.7647	6.86275	3.92157	0
81.4103	12.8205	4.48718	0.641026	0.641026
78.125	14.5833	5.20833	2.08333	0
77.1084	13.8554	7.83133	1.20482	0
74.0741	20.3704	3.7037	1.85185	0
78.7234	17.0213	4.25532	0	0
85.3933	8.98876	4.49438	1.1236	0
23.7548	36.9732	31.6092	7.08812	0.574713
18.2022	41.7978	33.9326	5.39326	0.674157
23.5123	32.656	32.656	8.70827	2.46734
20.9397	37.0787	28.0899	12.0531	1.83861
7.77778	46.1111	38.8889	6.66667	0.555556
27.5058	32.8671	27.972	8.62471	3.0303
19.4286	45.9048	27.8095	5.71429	1.14286
19.3853	32.8605	37.3522	8.98345	1.41844
20.9973	45.3339	27.8134	4.94053	0.914913
24.6537	38.2271	21.8837	12.4654	2.77008
22.6891	42.0168	27.451	7.28291	0.560224
23.0337	35.2528	31.6011	7.86517	2.24719
22.5577	40.3197	27.7087	7.28242	2.13144
23.6806	39.6482	32.747	3.11231	0.811908
18.8764	46.1798	25.5056	7.86517	1.57303
20.9845	39.8964	29.7927	8.54922	0.777202
26.616	40.5577	24.7148	7.09759	1.01394
22.8992	36.9748	30.2521	6.51261	3.36134
19.4521	43.8356	30.6849	5.20548	0.821918
25.2964	42.2925	27.2727	4.34783	0.790514
20.1923	36.5385	36.5385	6.73077	0
23.9583	37.5	33.8542	3.64583	1.04167
21.6	36	23.6	16.4	2.4
17.2414	39.0805	39.0805	3.44828	1.14943
23.8938	31.8584	37.1681	7.07965	0
25	30.9524	33.3333	7.14286	3.57143
16.6667	45	31.6667	5.83333	0.833333
27.8689	36.0656	27.8689	8.19672	0
22.5681	34.6304	33.463	8.56031	0.77821
14.7059	42.1569	32.3529	8.82353	1.96078
17.284	44.4444	33.3333	4.93827	0
68.5561	23.9572	6.31016	1.17647	0
69.0315	24.8874	4.27928	1.8018	0
71.6418	22.2222	5.38972	0.746269	0
68.2965	20.9779	7.64984	3.07571	0
67.9039	23.3624	5.8952	2.83843	0
66.5726	23.1312	6.7701	3.52609	0
61.5484	22.9677	10.4516	5.03226	0
70.9627	21.5839	5.12422	2.32919	0
71.7084	20.0911	5.6492	2.55125	0
67.2581	23.7097	8.22581	0.806452	0
65.2838	25.5459	5.8952	3.27511	0
