Volume	Repetitions
27746	2
26050	3
22198	1
20358	3
23506	4
25513	3
55176	1
17825	1
48884	1
19152	1
19373	3
22545	1
12071	2
19122	2
12094	4
10962	2
15133	4
16003	2
7527	2
6703	2
7661	1
3912	2
5141	1
7312	1
9798	1
39605	1
38638	1
31217	1
43341	1
25525	1
39032	1
37537	1
16003	1
29100	1
23001	1
21261	1
18449	1
25479	1
26955	1
22440	1
19258	1
29039	1
19837	1
18496	1
15346	1
19120	1
23283	1
20992	1
18012	1
14958	1
20228	1
16985	1
20476	1
20602	1
10661	1
16107	1
9675	1
9659	1
13797	1
18321	1
10921	1
9996	1
17326	1
7917	1
9193	1
8365	1
14920	1
7879	1
7637	1
9607	1
9298	1
4987	1
7960	1
8146	1
6185	1
71636	2
32572	2
31744	2
27856	2
28133	2
30182	2
22407	2
26298	2
52081	2
14492	1
14521	2
29039	2
17326	2
32871	2
15445	2
22760	2
27046	2
20779	2
16778	1
20301	2
31826	2
20151	2
21500	2
16051	2
10523	2
10383	2
13837	1
20798	2
13724	2
18437	1
9791	2
14871	2
8754	2
7321	2
16233	1
6472	1
5601	2
8467	2
46019	5
33477	2
37390	1
20842	3
16374	1
34404	3
46645	1
14664	1
26070	3
17326	1
21094	3
27480	1
16883	5
25487	3
16060	2
23701	3
21631	2
11342	2
17431	3
20212	3
16964	2
18437	1
12071	3
18636	2
12885	1
15281	1
11499	4
6787	1
12035	2
7634	2
4869	1
6300	2
31488	1
40806	2
36263	1
24147	1
26386	1
30767	1
19385	1
21722	3
45771	2
30451	1
21426	4
25614	1
36231	2
22939	3
20025	1
25479	1
18851	1
21303	1
20582	1
53053	1
17281	1
15972	3
25971	1
32641	2
19042	1
25616	2
14672	1
22576	4
29264	1
14694	2
15346	1
11600	1
17695	4
27756	2
11870	1
23998	4
14716	1
16717	1
11257	1
13840	1
8203	1
15042	1
26448	1
41071	1
11567	3
11833	2
12557	2
20604	1
6794	1
12459	2
10045	3
15257	2
9725	1
7917	3
15243	2
12888	1
15696	2
10415	2
15488	1
3584	1
13970	1
7899	1
50708	3
50376	7
50633	3
51740	5
50194	3
74145	3
43555	5
37916	3
43824	2
34113	7
39069	2
33988	6
31814	2
68201	5
31809	3
65688	3
31849	5
65218	2
64502	3
45071	2
62252	3
61698	3
31201	7
34710	5
33962	3
22335	3
31388	2
63600	3
62331	4
30858	2
31044	3
42578	3
37548	2
37548	3
29651	3
44382	2
39128	2
44382	2
27514	2
59639	3
19233	2
28981	3
26721	3
56527	3
26002	9
33168	2
17463	2
23808	2
25728	3
28195	7
22221	2
28440	5
29506	7
55323	2
28135	5
27794	2
36369	3
16739	3
22786	3
21911	3
18508	3
28048	3
25605	3
13696	3
16187	5
15116	3
20597	3
17569	3
33462	9
17902	5
22758	6
23439	5
19190	2
11229	3
19449	3
14974	2
25920	3
17936	2
19052	3
17575	3
14688	3
17486	2
31206	3
24711	4
16050	2
24703	6
15436	2
29407	3
31484	7
16315	2
16687	3
11973	5
26074	3
14522	3
11915	3
19244	3
23392	3
20765	2
22947	4
21816	2
23378	3
20544	3
22833	3
23283	3
27577	2
13529	2
11782	3
25702	6
16405	5
12357	2
27175	2
20153	3
14544	3
19025	3
14470	3
18000	3
12260	2
14058	2
19891	3
15400	6
20605	2
16464	2
15229	2
22742	5
25431	3
21343	3
10298	2
10298	3
17138	7
13927	3
23155	2
10898	3
15239	5
9794	2
12172	1
14486	3
16012	3
13920	3
16351	8
27638	2
17878	3
25081	5
8613	7
16640	3
16476	2
16166	3
14407	7
15280	3
16985	3
15704	2
14169	2
14383	2
20515	2
20514	3
13956	3
14670	3
20502	4
9993	4
15060	2
16458	3
14496	3
10833	3
20490	7
20750	3
14065	3
9307	6
13655	3
14526	3
9646	4
36359	3
17819	2
17696	4
13436	3
6825	3
19376	3
17035	3
15751	3
11636	3
13513	5
9532	3
12071	3
11808	2
12662	3
7776	3
11064	2
11808	2
18793	4
5514	2
13797	5
13906	3
5609	2
9249	3
5446	2
12466	4
17943	4
10657	3
20793	2
11941	3
10080	9
10320	6
10955	2
15365	5
17257	5
11680	2
16043	3
17052	2
11077	2
11600	7
11433	5
16680	7
11520	3
14194	7
11068	2
11041	5
8522	3
10095	3
10953	2
7843	3
12424	2
16121	3
8137	5
10952	2
10985	7
10064	3
6432	7
13003	3
15364	5
11475	3
7084	3
7552	3
8692	2
10402	7
8475	2
11056	3
10535	2
15006	5
7528	3
15340	2
15997	3
15156	3
15770	3
15893	5
14087	5
15031	3
15141	3
15704	3
7577	3
5469	5
8523	2
13920	2
13432	3
8799	3
10971	2
8512	5
11048	3
7900	2
7695	2
7695	7
7729	3
7695	3
6561	2
6862	3
15456	5
6549	2
8115	2
16055	2
12033	2
15319	3
15794	3
11728	3
5122	3
7411	3
8149	3
6955	3
5768	3
8130	3
4857	5
5141	2
7471	2
9358	2
7001	3
7077	2
5891	3
6942	2
4936	5
4389	3
8099	2
8041	3
8049	3
6840	2
7960	3
4134	3
5196	3
6071	2
7034	8
6231	2
4047	3
7735	3
4038	3
8353	2
100210	1
72853	1
74251	1
98961	1
64113	1
63768	1
96018	1
62946	1
97118	1
62296	1
89667	1
95959	1
61315	1
55363	1
87093	1
86586	1
83503	1
86108	1
52945	1
81786	1
53088	1
45226	1
50909	1
50886	1
51122	1
50967	1
50708	1
74784	1
51695	1
76265	1
42557	1
50376	1
50633	1
52028	1
50349	1
74211	1
61006	1
73877	1
74191	1
73579	1
54078	1
41270	1
43772	1
50008	1
72305	1
48366	1
71257	1
72495	1
72115	1
71332	1
73670	1
36659	1
74480	1
72089	1
45562	1
47557	1
73075	1
40843	1
38137	1
40546	1
48186	1
39605	1
37551	1
72536	1
40807	1
71636	1
71814	1
42746	1
68411	1
48319	1
71454	1
42892	1
51563	1
38086	1
38103	1
70743	1
43824	1
47864	1
38310	1
34197	1
34978	1
43230	1
34840	1
34783	1
42859	1
40165	1
39069	1
39069	1
38633	1
34113	1
38638	1
33104	1
46019	1
69496	1
29707	1
69955	1
29397	1
29736	1
68730	1
29542	1
29307	1
68495	1
67639	1
33276	1
66712	1
31814	1
68897	1
34238	1
41231	1
42153	1
32572	1
67972	1
34436	1
33413	1
29411	1
32706	1
28772	1
62273	1
28953	1
34463	1
45553	1
32569	1
28742	1
34180	1
44715	1
44266	1
61301	1
44715	1
43367	1
33922	1
66948	1
32579	1
32965	1
48002	1
31584	1
62898	1
44798	1
31849	1
31744	1
33281	1
37585	1
27966	1
32365	1
31881	1
32421	1
33635	1
31199	1
33456	1
32959	1
64607	1
31555	1
33386	1
31648	1
37483	1
35995	1
40931	1
32269	1
66460	1
31727	1
32679	1
31488	1
61510	1
41106	1
32334	1
64387	1
61396	1
43728	1
44227	1
41147	1
39386	1
31351	1
27147	1
61063	1
65356	1
27927	1
41004	1
31975	1
29727	1
35648	1
38526	1
40694	1
31247	1
32958	1
29384	1
27856	1
27246	1
29232	1
56849	1
35232	1
31201	1
24763	1
28211	1
30685	1
31290	1
33188	1
34298	1
24319	1
29850	1
27746	1
64105	1
60547	1
29703	1
34883	1
34047	1
28158	1
20560	1
39124	1
29805	1
64668	1
32057	1
22631	1
27089	1
31217	1
28373	1
42878	1
31466	1
30369	1
62250	1
32266	1
44950	1
67098	1
33708	1
49382	1
32368	1
43341	1
29426	1
27847	1
43358	1
36820	1
32192	1
27876	1
39210	1
26980	1
36263	1
36080	1
25006	1
25204	1
21477	1
33674	1
32162	1
39079	1
22401	1
65941	1
41621	1
33662	1
33632	1
22872	1
28768	1
27631	1
27532	1
63194	1
26698	1
31754	1
31649	1
41397	1
59989	1
41863	1
26546	1
28389	1
27895	1
29212	1
28670	1
31261	1
42073	1
28223	1
24102	1
23609	1
27662	1
62868	1
31457	1
28519	1
25084	1
24335	1
42420	1
30846	1
26871	1
31076	1
28717	1
29874	1
28133	1
59787	1
38684	1
30016	1
23206	1
62178	1
28869	1
27954	1
30762	1
18910	1
28333	1
29868	1
27744	1
25525	1
44652	1
30506	1
45592	1
26050	1
26050	1
38384	1
42499	1
29352	1
29818	1
25920	1
30716	1
60313	1
60264	1
33893	1
39032	1
59609	1
37791	1
37390	1
37390	1
37390	1
37390	1
37390	1
37390	1
25905	1
29088	1
25460	1
43961	1
44161	1
30394	1
27988	1
59125	1
40797	1
23202	1
28680	1
21432	1
28395	1
44203	1
44203	1
44148	1
44203	1
44203	1
44203	1
39128	1
26386	1
25962	1
40843	1
44203	1
21645	1
29635	1
59457	1
33505	1
23352	1
26182	1
28093	1
22139	1
44312	1
24870	1
21633	1
29141	1
29107	1
25616	1
24675	1
27812	1
33462	1
16003	1
30767	1
25528	1
26012	1
59375	1
30925	1
40860	1
28139	1
29443	1
29170	1
28847	1
23332	1
27017	1
26404	1
26073	1
18796	1
43415	1
59439	1
19385	1
23038	1
38642	1
30422	1
35536	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
28981	1
